,thermal_stress,air_pollution,green_roof
403,3,3,1
405,3,3,1
406,3,3,1
407,3,3,1
408,3,3,1
409,3,3,0
410,3,3,0
411,3,3,1
412,3,3,1
413,3,3,0
414,3,3,1
415,3,3,0
416,3,3,0
417,3,3,1
419,3,3,0
420,3,3,0
422,3,3,0
423,3,3,0
424,3,3,0
425,3,3,0
426,3,3,0
427,3,3,0
428,3,3,0
429,3,3,1
430,3,3,0
431,3,3,1
432,3,3,1
433,3,3,0
434,3,3,0
439,3,3,0
440,3,3,0
441,3,3,0
442,3,3,1
443,3,3,1
444,3,3,1
445,3,3,0
446,3,3,0
447,3,3,1
448,3,3,1
449,3,3,0
450,3,3,1
451,3,3,1
452,3,3,1
453,3,3,0
454,3,3,1
455,3,3,1
456,3,3,0
457,3,3,0
458,3,3,1
459,3,3,0
460,3,3,1
461,3,3,0
462,3,3,1
463,3,3,0
464,3,3,1
465,3,3,1
466,3,3,1
467,3,3,1
468,3,3,0
469,3,3,1
470,3,3,0
471,3,3,1
472,3,3,0
473,3,3,1
475,3,3,0
476,3,3,1
477,3,3,0
478,3,3,0
479,3,3,1
480,3,3,1
481,3,3,1
482,3,3,0
483,3,3,1
484,3,3,0
485,3,3,0
486,3,3,1
487,3,3,0
488,3,3,1
489,3,3,1
490,3,3,1
491,3,3,1
492,3,3,0
493,3,3,0
495,3,3,1
496,3,3,0
497,3,3,1
498,3,3,1
499,3,3,0
500,3,3,1
501,3,3,1
502,3,3,1
503,3,3,1
504,3,3,1
505,3,3,0
506,3,3,0
507,3,3,1
508,3,3,1
509,3,3,1
510,3,3,1
511,3,3,0
512,3,3,1
513,3,3,1
514,3,3,0
515,3,3,1
516,3,3,1
517,3,3,1
519,3,3,1
520,3,3,1
521,3,3,1
522,3,3,1
523,3,3,0
524,3,3,1
525,3,3,1
526,3,3,1
527,3,3,0
528,3,3,0
529,3,3,0
530,3,3,1
531,3,3,1
532,3,3,1
533,3,3,0
534,3,3,0
535,3,3,0
536,3,3,0
537,3,3,1
538,3,3,1
539,3,3,1
540,3,3,0
541,3,3,1
542,3,3,0
